date,aqs_site_id,poc,daily_max_8_hour_co_concentration,units,daily_aqi_value,daily_obs_count,percent_complete,aqs_parameter_code,aqs_parameter_desc,cbsa_code,cbsa_name,state_code,state,county_code,county,site_latitude,site_longitude,site_location
1980-01-01,10730012,true,4.5,ppm,51,19,79.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.520661221,-86.801933976,POINT(-86.801933976 33.520661221)
1980-01-02,10730012,true,9.5,ppm,101,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.520661221,-86.801933976,POINT(-86.801933976 33.520661221)
1980-01-03,10730012,true,8.6,ppm,92,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.520661221,-86.801933976,POINT(-86.801933976 33.520661221)
1980-01-04,10730012,true,3.6,ppm,41,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.520661221,-86.801933976,POINT(-86.801933976 33.520661221)
1980-01-05,10730012,true,2.2,ppm,25,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.520661221,-86.801933976,POINT(-86.801933976 33.520661221)
1980-01-06,10730012,true,4.6,ppm,52,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.520661221,-86.801933976,POINT(-86.801933976 33.520661221)
1980-01-07,10730012,true,4.9,ppm,55,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.520661221,-86.801933976,POINT(-86.801933976 33.520661221)
1980-01-08,10730012,true,3.3,ppm,38,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.520661221,-86.801933976,POINT(-86.801933976 33.520661221)
1980-01-09,10730012,true,3,ppm,34,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.520661221,-86.801933976,POINT(-86.801933976 33.520661221)
1980-01-10,10730012,true,1.6,ppm,18,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.520661221,-86.801933976,POINT(-86.801933976 33.520661221)
